regulator	subtype	NES_TCGA	NES_MTBRC	NES_meta	FDR_meta
CENPA	Basal-like	2.97159382103882	3.45862070900689	4.54684829867959	0.000408414141577041
CENPA	LumA	2.65382008458477	0.327117865050852	2.10784143848367	0.494130370459294
CENPA	LumB	3.03642295458477	3.1485995566798	4.37347135950663	0.00064494462214811
CENPA	HER2	NA	NA	NA	NA
FOXM1	Basal-like	2.70326062442384	3.33010746070998	4.26623548639262	0.000745496039848706
FOXM1	LumA	2.41024907523488	0.228105583197156	1.86559847015241	0.60295602483994
FOXM1	LumB	3.13238337609332	2.94261692013781	4.29567390517532	0.00064494462214811
FOXM1	HER2	2.89336675751064	3.40805130395783	4.45577544235575	0.000242412433867231
HMGA1	Basal-like	2.38086388791544	2.59826449711588	3.52077544545407	0.0107571709098365
HMGA1	LumA	1.73562974689519	0.0372998931190722	1.25365057102071	0.82237874539101
HMGA1	LumB	NA	NA	NA	NA
HMGA1	HER2	NA	NA	NA	NA
CHCHD3	Basal-like	2.32877518479811	2.19465906820157	3.19855103454758	0.0258975157187617
CHCHD3	LumA	1.54806001473704	-0.0623216693119967	1.05057565911893	0.902585130381042
CHCHD3	LumB	NA	NA	NA	NA
CHCHD3	HER2	NA	NA	NA	NA
E2F7	Basal-like	1.53724496197309	2.82410063502189	3.08393704673324	0.0306421225622795
E2F7	LumA	NA	NA	NA	NA
E2F7	LumB	2.88014573681666	3.15216259403911	4.26548612695622	0.00064494462214811
E2F7	HER2	2.71596042353579	3.10161108434874	4.1136442632628	0.000564719116580264
ZNF232	Basal-like	1.78302696251484	2.37534486531456	2.94041291815327	0.0351187629560187
ZNF232	LumA	NA	NA	NA	NA
ZNF232	LumB	NA	NA	NA	NA
ZNF232	HER2	NA	NA	NA	NA
VEZF1	Basal-like	-1.25006239868477	-3.02523308866592	-3.02309043068192	0.0312759328120296
VEZF1	LumA	-0.224964516490675	1.3004986768356	0.760517498177678	0.950385024576922
VEZF1	LumB	NA	NA	NA	NA
VEZF1	HER2	NA	NA	NA	NA
