cohort	TMR	n	anova_F	anova_p	kw_stat	kw_p	anova_FDR	kw_FDR
TCGA_Lehmann_Bareche	CENPA	195	25.2537026539971	8.72622309097143e-17	62.677603923012	7.93332352592476e-13	1.52708904092e-16	1.85110882271578e-12
TCGA_Lehmann_Bareche	FOXM1	195	18.4410587243702	8.06271021764139e-13	52.2043549183345	1.25018000441389e-10	9.40649525391496e-13	1.45854333848288e-10
TCGA_Lehmann_Bareche	HMGA1	195	20.3882178295962	5.44119227301347e-14	61.9531926039069	1.1268533288889e-12	6.92515380201714e-14	2.25370665777781e-12
TCGA_Lehmann_Bareche	CHCHD3	195	25.0499787402309	1.13314727340568e-16	63.8906159628608	4.40679241009429e-13	1.76267353640884e-16	1.2339018748264e-12
TCGA_Lehmann_Bareche	E2F7	195	7.57979148736217	1.09654045414754e-05	25.8810827414909	3.34405898653547e-05	1.1808897198512e-05	3.60129429319205e-05
TCGA_Lehmann_Bareche	ZNF232	195	21.3850167380721	1.40679205892127e-14	59.9560112157051	2.96326874335939e-12	1.96950888248978e-14	5.18572030087893e-12
TCGA_Lehmann_Bareche	VEZF1	195	4.06872799497174	0.00345436190779862	15.7304700791435	0.00340300100821505	0.00345436190779862	0.00340300100821505
METABRIC_IntClust	CENPA	209	22.7817747481485	4.4764014238424e-28	92.8600950758059	1.44837019818018e-15	6.26696199337936e-27	2.02771827745225e-14
METABRIC_IntClust	FOXM1	209	19.6066960217454	7.22803354534501e-25	81.6647813407827	2.36642432152904e-13	5.0596234817415e-24	8.28248512535163e-13
METABRIC_IntClust	HMGA1	209	17.7382997161981	7.24043772922907e-23	84.0058042549841	8.19601419671905e-14	3.3788709403069e-22	5.73720993770333e-13
METABRIC_IntClust	CHCHD3	209	12.9840098020693	2.4139135467832e-17	71.3187104875076	2.46532298678228e-11	5.63246494249414e-17	3.13768380135927e-11
METABRIC_IntClust	E2F7	209	13.9179384322946	1.7581964918033e-18	72.4797927408658	1.46885697299994e-11	4.92295017704924e-18	2.05639976219992e-11
METABRIC_IntClust	ZNF232	209	12.6909775901245	5.56318400541845e-17	72.5763151077676	1.40690469592377e-11	1.11263680108369e-16	2.05639976219992e-11
METABRIC_IntClust	VEZF1	209	14.7433818892645	1.82742894157156e-19	81.7023137844157	2.32659231618624e-13	6.39600129550046e-19	8.28248512535163e-13
