regulator	NES_TCGA	NES_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
FOXM1	2.89336675751064	3.40805130395783	0.00381135963048571	0.000654285918937153	4.45577544235575	8.35904944369761e-06	0.000242412433867231
E2F7	2.71596042353579	3.10161108434874	0.00660838171883483	0.00192470643109325	4.1136442632628	3.89461459710527e-05	0.000564719116580264
MBD3	0.612078149159499	0.819516633954839	0.540486053723916	0.412491715572041	1.01229037905143	0.311399233602438	0.831724412500159
NKRF	0.425956388827024	0.928549557676208	0.670139624616143	0.353122573562806	0.957780339929938	0.338173534883554	0.831724412500159
SAFB	0.632346756010538	0.241693478473387	0.527160317532621	0.809017683200416	0.618039776833463	0.536549118706715	0.915200435299686
RFX1	0.814159601009345	-0.130487051433709	0.415553525623669	0.896181098012362	0.483429495916028	0.628790809152948	0.915200435299686
CEBPZ	-0.357807930126626	0.841307600740813	0.720487055580824	0.400175633676194	0.341885895792753	0.732436764299142	0.915200435299686
ADNP	0.517230650846593	-0.265408690693777	0.604995157981524	0.790694641959215	0.178065015675745	0.858671916360375	0.915200435299686
ZNF142	-0.368238189443409	0.599449055178998	0.712695636797232	0.548873472914879	0.163490771045647	0.870132039027907	0.915200435299686
GPBP1	0.148865822947348	0.0320407241523433	0.881659509997909	0.974439574379634	0.127920246215235	0.898212088514093	0.915200435299686
CDC5L	-0.159764511902568	0.00917711314330148	0.873066580332366	0.992677825888555	-0.10648137082392	0.915200435299686	0.915200435299686
SETDB1	-0.00851460368811815	-0.196426371984857	0.993206411263466	0.844276456447356	-0.144915153641348	0.884777861858391	0.915200435299686
YY1	-0.543696197884699	0.242895592556343	0.586650549265455	0.808086279977117	-0.212698147812699	0.831562411541611	0.915200435299686
ZNF644	-0.337003986228071	-0.122489758481766	0.73611389512909	0.902511156464423	-0.324911142797126	0.74524832331996	0.915200435299686
ZBTB41	-0.282347995292133	-0.231770847136643	0.777676687035857	0.816716001160222	-0.363536919817166	0.716203838616106	0.915200435299686
ZNF148	-0.613861641231309	0.0777580518258256	0.5393067599072	0.938020515165024	-0.379082483487066	0.704626613427536	0.915200435299686
CTCF	-0.713106982460455	0.0986972595393372	0.475779559092922	0.921378644813533	-0.43445328150447	0.663959313422924	0.915200435299686
ZNF143	0.122221214878662	-0.967060421566005	0.902723825366886	0.333513829462236	-0.597391532060883	0.550246005999869	0.915200435299686
MBD6	-0.784266848432522	-0.140597065799822	0.432883547561049	0.888188266364784	-0.653977545428424	0.513126272354335	0.915200435299686
LCOR	-0.92857290612726	-0.13961569044915	0.35311046846933	0.888963642863563	-0.75532340022532	0.450054961551229	0.915200435299686
ELF2	-0.759322206598931	-0.388480843874579	0.447659836701271	0.69766022748914	-0.811619320456423	0.417010101581955	0.915200435299686
ARID2	-0.864636049398047	-0.473173271471392	0.387238579760468	0.63608956531205	-0.945974042721349	0.344161825862135	0.831724412500159
SON	-0.954083558974355	-0.446709221334201	0.340041347609954	0.655085022931317	-0.990510073993338	0.321924867645966	0.831724412500159
GTF2I	-0.653831244459672	-0.764477536029572	0.513220534444683	0.444582718542208	-1.00289575650037	0.315911160285925	0.831724412500159
TMF1	-1.06542316207338	-0.571258040179434	0.286684479873713	0.56782474015134	-1.15730837675351	0.247146392336237	0.831724412500159
TCF12	-0.968196182631316	-0.784669317613018	0.33294640103287	0.432647476685078	-1.23946308173072	0.215174052673236	0.831724412500159
HBP1	-0.88819711571315	-1.13170721641591	0.374434730007491	0.257757546607508	-1.42828805059654	0.153208965811384	0.831724412500159
ZFX	-0.893085179083159	-1.14085670365512	0.371811559244364	0.253929559311902	-1.43821409782357	0.150373316374158	0.831724412500159
SMAD5	-0.574407803710985	-1.57989203816284	0.565691873390199	0.114131592881512	-1.52332002689809	0.127678659104733	0.831724412500159
